run_slug,run_label,model_name,motivation,carolina_documents,tasks_loaded,total_instances,threshold,caps_truncation,overlaps,overlap_rate_pct,tasks_nonzero,mean_top1_similarity,max_similarity
snapshot_bge_small_en,Snapshot exploratorio,BAAI/bge-small-en-v1.5,Baseline rapido inicial para verificar viabilidade do pipeline.,993,37,11409,0.85,MAX_CAROLINA_DOCS=1000; MAX_INSTANCES_PER_TASK=500; sem truncation explicita,15,0.13147515119642386,10,0.763,0.8696
bge_m3,BGE-M3,BAAI/bge-m3,Rerun multilingue principal com encoder retrieval-oriented.,993,37,11409,0.85,MAX_CAROLINA_DOCS=1000; MAX_INSTANCES_PER_TASK=500; max_seq_length=512; max_document_chars=2000,0,0.0,0,0.49293025737473734,0.7354430556297302
multilingual_e5_large_instruct,multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,Rerun multilingue alternativo com query instruction explicita.,993,37,11409,0.85,MAX_CAROLINA_DOCS=1000; MAX_INSTANCES_PER_TASK=500; max_seq_length=512; max_document_chars=2000,3527,30.91419055131913,34,0.8393527228404475,0.9264017343521118
